Size,Time_microseconds
500,6
600,7
700,8
800,8
900,12
1000,13
1100,15
1200,16
1300,16
1400,17
1500,18
1600,18
1700,23
1800,26
1900,26
2000,27
2100,31
2200,31
2300,32
2400,34
2500,35
2600,36
2700,36
2800,38
2900,38
3000,40
3100,40
3200,39
3300,51
3400,50
3500,55
3600,54
3700,54
3800,56
3900,56
4000,65
4100,63
4200,70
4300,68
4400,69
4500,69
4600,70
4700,79
4800,79
4900,79
5000,81
5100,82
5200,83
5300,90
5400,85
5500,86
5600,86
5700,94
5800,98
5900,100
6000,108
6100,108
6200,110
6300,98
6400,121
6500,117
6600,126
6700,124
6800,164
6900,124
7000,129
7100,154
7200,127
7300,123
7400,160
7500,129
7600,139
7700,142
7800,128
7900,133
8000,136
8100,140
8200,189
8300,163
8400,168
8500,184
8600,191
8700,177
8800,179
8900,198
9000,188
9100,204
9200,189
9300,181
9400,186
9500,189
9600,184
9700,187
9800,189
9900,198
10000,197
