Size,Time_microseconds
500,23
600,33
700,42
800,55
900,70
1000,82
1100,54
1200,71
1300,74
1400,80
1500,90
1600,117
1700,128
1800,133
1900,140
2000,159
2100,129
2200,127
2300,145
2400,151
2500,161
2600,170
2700,181
2800,195
2900,216
3000,230
3100,230
3200,239
3300,253
3400,267
3500,293
3600,305
3700,319
3800,324
3900,339
4000,352
4100,269
4200,276
4300,279
4400,295
4500,302
4600,320
4700,330
4800,341
4900,358
5000,358
5100,378
5200,385
5300,394
5400,404
5500,424
5600,445
5700,460
5800,466
5900,475
6000,485
6100,494
6200,511
6300,506
6400,574
6500,540
6600,551
6700,559
6800,571
6900,583
7000,596
7100,617
7200,621
7300,630
7400,640
7500,665
7600,665
7700,684
7800,690
7900,693
8000,713
8100,508
8200,550
8300,543
8400,628
8500,576
8600,570
8700,586
8800,592
8900,606
9000,619
9100,621
9200,629
9300,633
9400,644
9500,658
9600,663
9700,673
9800,678
9900,696
10000,716
