Size,Time_microseconds
500,62
600,47
700,63
800,81
900,108
1000,125
1100,156
1200,184
1300,214
1400,245
1500,281
1600,314
1700,353
1800,399
1900,444
2000,494
2100,250
2200,276
2300,338
2400,362
2500,392
2600,378
2700,407
2800,435
2900,466
3000,497
3100,593
3200,636
3300,602
3400,635
3500,758
3600,798
3700,751
3800,790
3900,928
4000,876
4100,522
4200,538
4300,570
4400,593
4500,645
4600,638
4700,680
4800,740
4900,734
5000,762
5100,787
5200,820
5300,853
5400,882
5500,915
5600,943
5700,971
5800,1014
5900,1107
6000,1080
6100,1116
6200,1150
6300,1182
6400,1231
6500,1272
6600,1307
6700,1335
6800,1369
6900,1415
7000,1445
7100,1481
7200,1521
7300,1559
7400,1615
7500,1643
7600,1694
7700,1732
7800,1775
7900,1830
8000,1867
8100,1064
8200,1108
8300,1139
8400,1171
8500,1197
8600,1216
8700,1250
8800,1269
8900,1306
9000,1331
9100,1363
9200,1388
9300,1412
9400,1445
9500,1471
9600,1503
9700,1534
9800,1573
9900,1597
10000,1623
