Size,Time_microseconds
500,47
600,63
700,73
800,84
900,89
1000,98
1100,98
1200,89
1300,93
1400,109
1500,111
1600,118
1700,123
1800,124
1900,132
2000,139
2100,154
2200,166
2300,175
2400,183
2500,192
2600,203
2700,211
2800,210
2900,215
3000,223
3100,229
3200,242
3300,243
3400,248
3500,253
3600,254
3700,265
3800,268
3900,268
4000,277
4100,298
4200,313
4300,325
4400,341
4500,347
4600,352
4700,365
4800,377
4900,379
5000,388
5100,397
5200,410
5300,423
5400,420
5500,434
5600,440
5700,439
5800,453
5900,464
6000,464
6100,465
6200,482
6300,492
6400,498
6500,504
6600,495
6700,524
6800,508
6900,512
7000,513
7100,515
7200,530
7300,535
7400,539
7500,546
7600,546
7700,553
7800,556
7900,560
8000,562
8100,569
8200,621
8300,629
8400,653
8500,665
8600,677
8700,676
8800,698
8900,712
9000,718
9100,715
9200,726
9300,751
9400,761
9500,791
9600,776
9700,799
9800,815
9900,799
10000,808
