Size,Time_microseconds
500,54
600,70
700,81
800,101
900,103
1000,118
1100,134
1200,122
1300,123
1400,130
1500,141
1600,155
1700,166
1800,173
1900,172
2000,185
2100,211
2200,220
2300,232
2400,244
2500,256
2600,268
2700,284
2800,301
2900,300
3000,310
3100,325
3200,326
3300,344
3400,347
3500,351
3600,357
3700,375
3800,383
3900,393
4000,402
4100,418
4200,438
4300,463
4400,477
4500,489
4600,503
4700,521
4800,528
4900,532
5000,555
5100,561
5200,574
5300,580
5400,599
5500,607
5600,655
5700,638
5800,648
5900,656
6000,673
6100,671
6200,690
6300,704
6400,701
6500,726
6600,722
6700,735
6800,756
6900,754
7000,803
7100,767
7200,781
7300,780
7400,800
7500,803
7600,817
7700,820
7800,832
7900,843
8000,839
8100,851
8200,912
8300,928
8400,982
8500,972
8600,987
8700,1000
8800,1021
8900,1037
9000,1053
9100,1058
9200,1067
9300,1086
9400,1113
9500,1222
9600,1131
9700,1154
9800,1152
9900,1162
10000,1190
