Size,Time_microseconds
500,46
600,59
700,69
800,77
900,86
1000,90
1100,90
1200,90
1300,86
1400,94
1500,99
1600,121
1700,116
1800,122
1900,126
2000,131
2100,140
2200,154
2300,161
2400,168
2500,177
2600,185
2700,190
2800,195
2900,195
3000,206
3100,209
3200,217
3300,222
3400,229
3500,234
3600,238
3700,245
3800,248
3900,249
4000,253
4100,269
4200,286
4300,301
4400,307
4500,314
4600,322
4700,328
4800,347
4900,348
5000,356
5100,357
5200,365
5300,382
5400,380
5500,394
5600,406
5700,405
5800,410
5900,419
6000,420
6100,428
6200,436
6300,448
6400,462
6500,450
6600,460
6700,465
6800,469
6900,472
7000,485
7100,483
7200,489
7300,496
7400,490
7500,500
7600,510
7700,502
7800,510
7900,516
8000,516
8100,519
8200,568
8300,580
8400,650
8500,605
8600,614
8700,610
8800,624
8900,647
9000,651
9100,658
9200,660
9300,666
9400,672
9500,686
9600,703
9700,707
9800,704
9900,726
10000,740
