Size,Time_microseconds
500,16
600,18
700,22
800,25
900,29
1000,31
1100,34
1200,39
1300,42
1400,47
1500,48
1600,53
1700,58
1800,64
1900,69
2000,74
2100,80
2200,81
2300,90
2400,94
2500,98
2600,106
2700,139
2800,142
2900,150
3000,144
3100,137
3200,161
3300,106
3400,107
3500,107
3600,169
3700,167
3800,176
3900,167
4000,209
4100,180
4200,189
4300,197
4400,193
4500,198
4600,247
4700,236
4800,249
4900,260
5000,255
5100,252
5200,263
5300,248
5400,251
5500,267
5600,257
5700,282
5800,266
5900,267
6000,279
6100,288
6200,291
6300,295
6400,292
6500,303
6600,308
6700,308
6800,318
6900,341
7000,320
7100,338
7200,331
7300,345
7400,351
7500,362
7600,363
7700,361
7800,378
7900,370
8000,390
8100,381
8200,391
8300,396
8400,438
8500,416
8600,487
8700,423
8800,428
8900,451
9000,432
9100,444
9200,450
9300,454
9400,450
9500,463
9600,470
9700,470
9800,475
9900,476
10000,491
