Size,Time_microseconds
500,38
600,48
700,56
800,68
900,74
1000,85
1100,94
1200,104
1300,112
1400,125
1500,129
1600,144
1700,151
1800,164
1900,179
2000,192
2100,195
2200,203
2300,216
2400,229
2500,238
2600,256
2700,260
2800,309
2900,314
3000,321
3100,353
3200,325
3300,236
3400,241
3500,254
3600,347
3700,418
3800,424
3900,426
4000,397
4100,430
4200,434
4300,464
4400,455
4500,478
4600,503
4700,522
4800,535
4900,539
5000,541
5100,558
5200,584
5300,614
5400,603
5500,613
5600,590
5700,597
5800,612
5900,630
6000,627
6100,639
6200,655
6300,664
6400,683
6500,708
6600,713
6700,696
6800,725
6900,738
7000,756
7100,770
7200,789
7300,782
7400,806
7500,800
7600,822
7700,857
7800,869
7900,855
8000,874
8100,875
8200,903
8300,905
8400,913
8500,925
8600,942
8700,1054
8800,963
8900,1180
9000,991
9100,1032
9200,1057
9300,1032
9400,1047
9500,1075
9600,1122
9700,1119
9800,1077
9900,1088
10000,1119
