Size,Time_microseconds
500,22
600,39
700,31
800,36
900,40
1000,44
1100,49
1200,52
1300,57
1400,62
1500,69
1600,71
1700,76
1800,82
1900,86
2000,93
2100,94
2200,102
2300,109
2400,119
2500,119
2600,114
2700,151
2800,137
2900,141
3000,176
3100,151
3200,144
3300,120
3400,112
3500,116
3600,179
3700,182
3800,212
3900,185
4000,214
4100,196
4200,195
4300,197
4400,207
4500,210
4600,220
4700,249
4800,253
4900,249
5000,276
5100,264
5200,278
5300,295
5400,276
5500,256
5600,276
5700,273
5800,270
5900,273
6000,299
6100,306
6200,306
6300,299
6400,316
6500,315
6600,316
6700,321
6800,339
6900,326
7000,345
7100,349
7200,355
7300,364
7400,356
7500,379
7600,367
7700,370
7800,381
7900,397
8000,393
8100,392
8200,408
8300,400
8400,411
8500,415
8600,418
8700,426
8800,428
8900,434
9000,547
9100,464
9200,449
9300,459
9400,549
9500,497
9600,489
9700,477
9800,484
9900,486
10000,504
