Size,Time_microseconds
500,34
600,42
700,49
800,55
900,62
1000,94
1100,74
1200,82
1300,88
1400,96
1500,107
1600,111
1700,119
1800,126
1900,137
2000,143
2100,157
2200,164
2300,186
2400,182
2500,192
2600,198
2700,210
2800,227
2900,219
3000,233
3100,235
3200,247
3300,260
3400,281
3500,270
3600,282
3700,296
3800,297
3900,312
4000,343
4100,323
4200,335
4300,406
4400,350
4500,362
4600,372
4700,380
4800,391
4900,386
5000,414
5100,409
5200,409
5300,421
5400,455
5500,448
5600,464
5700,459
5800,472
5900,483
6000,492
6100,506
6200,688
6300,534
6400,528
6500,519
6600,535
6700,547
6800,564
6900,560
7000,576
7100,587
7200,594
7300,598
7400,609
7500,620
7600,626
7700,634
7800,657
7900,661
8000,681
8100,658
8200,675
8300,684
8400,702
8500,703
8600,720
8700,820
8800,782
8900,758
9000,747
9100,761
9200,772
9300,777
9400,876
9500,635
9600,882
9700,830
9800,905
9900,837
10000,819
