Size,Time_microseconds
500,56
600,65
700,78
800,89
900,100
1000,115
1100,129
1200,139
1300,155
1400,169
1500,183
1600,195
1700,203
1800,223
1900,235
2000,242
2100,257
2200,273
2300,303
2400,304
2500,315
2600,333
2700,344
2800,354
2900,369
3000,380
3100,418
3200,421
3300,466
3400,447
3500,463
3600,476
3700,501
3800,492
3900,518
4000,524
4100,548
4200,567
4300,567
4400,554
4500,608
4600,630
4700,629
4800,637
4900,672
5000,672
5100,679
5200,714
5300,727
5400,720
5500,757
5600,766
5700,770
5800,793
5900,801
6000,815
6100,825
6200,844
6300,1066
6400,881
6500,901
6600,914
6700,951
6800,934
6900,952
7000,974
7100,980
7200,1001
7300,1021
7400,1032
7500,1046
7600,1059
7700,1063
7800,1123
7900,1104
8000,1114
8100,1117
8200,1139
8300,1180
8400,1185
8500,1178
8600,1196
8700,1213
8800,1314
8900,1273
9000,1283
9100,1308
9200,1314
9300,1302
9400,1313
9500,1465
9600,1450
9700,1377
9800,1448
9900,1486
10000,1445
