Size,Time_microseconds
500,40
600,43
700,50
800,57
900,66
1000,73
1100,81
1200,87
1300,97
1400,108
1500,111
1600,116
1700,128
1800,135
1900,139
2000,153
2100,156
2200,167
2300,201
2400,179
2500,190
2600,196
2700,206
2800,215
2900,233
3000,232
3100,236
3200,295
3300,257
3400,261
3500,268
3600,278
3700,299
3800,291
3900,299
4000,321
4100,310
4200,337
4300,340
4400,340
4500,353
4600,356
4700,382
4800,371
4900,374
5000,386
5100,388
5200,486
5300,422
5400,427
5500,431
5600,434
5700,446
5800,445
5900,458
6000,469
6100,475
6200,485
6300,572
6400,517
6500,511
6600,515
6700,531
6800,540
6900,542
7000,538
7100,559
7200,581
7300,622
7400,580
7500,594
7600,612
7700,628
7800,615
7900,625
8000,637
8100,653
8200,632
8300,656
8400,664
8500,680
8600,684
8700,694
8800,700
8900,758
9000,736
9100,732
9200,721
9300,739
9400,808
9500,530
9600,889
9700,761
9800,819
9900,791
10000,778
